MXU_SOC_TEST_BEGIN
MXU_MODE posit_ff
===MXU_OUT_BEGIN bank_count=8 row_start=0x0 row_count=32===
===MXU_OUT_BANK_BEGIN bank=0 rows=32===
row=0 8a1e  874a  6640  8e96  8da1  877e  7a6e  866c
row=1 857f  7a59  782e  87b9  78fe  88de  7a81  7923
row=2 8619  72fa  7830  7a40  884f  7990  877e  79e9
row=3 86b4  86f0  864f  79b1  790f  88c3  8564  8551
row=4 7940  86b6  7a31  85e2  7a45  8593  77f2  7904
row=5 7904  7851  708c  7426  8606  7a49  856a  85db
row=6 76f2  790c  790f  8580  8749  763c  8711  7911
row=7 88ca  8e6b  790f  7a2f  7a04  9418  8737  779e
row=8 78ed  793a  79bf  7850  7a71  78be  8a62  7977
row=9 87f3  89cc  867b  8659  86ff  85e7  7a54  895d
row=10 85fd  7a18  88d9  8992  75d6  7600  7ada  7a22
row=11 866d  7960  7b19  878c  7b14  79f3  8816  7acf
row=12 9ce0  87c1  855e  8960  7421  8616  7a4b  8668
row=13 797c  89bf  85fe  77a5  8573  84f9  8acc  8987
row=14 8868  86b7  86f0  7546  7815  7aba  789a  86c0
row=15 7a61  8700  87c0  8652  79ad  8b21  85d0  787e
row=16 84a3  7a94  79a0  79f7  86dc  7571  8530  7816
row=17 84ce  799e  882c  7a1e  85f7  782a  86d7  7a09
row=18 792e  78dc  86f3  7644  866c  794d  855b  8561
row=19 86e5  79ef  7a13  850a  86f1  897f  797d  86cd
row=20 7825  74cc  85bf  907f  706c  7a69  86c4  86a2
row=21 869f  86e8  79aa  8761  89d5  8742  86d6  863c
row=22 873b  795c  77e2  87bb  85ad  8587  7933  7ad6
row=23 8622  8613  8ffc  7a77  7648  757d  79e2  79e0
row=24 89fb  788b  7a72  8727  874b  8acc  8b2e  78f6
row=25 8645  85c3  773c  8687  79f8  79b5  75b0  7813
row=26 86c9  85ac  7912  7a23  8679  86bc  871f  8b67
row=27 794b  7040  86a9  86b7  7afe  7440  8640  79e8
row=28 746e  8637  85f3  881a  79ee  870a  8536  86f5
row=29 79d5  8984  79a4  8650  86e2  7934  791c  862b
row=30 79dd  87be  7602  8631  7984  7a8a  7a35  7910
row=31 85b9  870f  7a76  7802  850b  79a6  7ae6  7420
===MXU_OUT_BANK_END bank=7===
===MXU_OUT_END===
MXU_PASS
MXU_SOC_TEST_END
